term,en,pl
Examine/AstronomyWindow/Section ds2,It's also daytime.,No i jest dzień.
Examine/AviaryDesk/Section ds6,"A little writing desk.
It's kinda cute.","Małe biurko do pisania.
Dość urocze."
Examine/AviaryDesk/Section ds8,There's nothing written in the book... although someone's torn a page out of the middle.,W książce nic nie ma napisane... choć ktoś wyrwał stronę ze środka.
Examine/Aviarybase/Section ds0,I feel like I'm standing in a giant birdcage...,"Mam wrażenie, że stoję w gigantycznej klatce dla ptaków..."
Examine/Aviarybigcage/Section ds0,An [h]especially-fancy[/h] cage.,[h]Wyjątkowo wymyślna[/h] klatka.
Examine/Aviarybigcage/Section ds1,-and it's home to three [h]especially-fancy[/h] birds.,-i jest domem dla trzech [h]wyjątkowo wymyślnych[/h] ptaków.
Examine/Aviarybutterfly/Section ds0,Check out that butterfly.,Spójrz na tego motyla.
Examine/Aviarybutterfly/Section ds4,Looks evil.,Wygląda złowieszczo.
Examine/Aviarybutterfly/Section ds5,"Wow.
[i]Judgemental.[/i]","Wow.
[i]Bardzo oceniające.[/i]"
Examine/Aviarycages/Section ds0,...is that a metaphor?,...czy to jakaś metafora?
Examine/Aviarycages/Section ds1,They're birdcages...,To klatki dla ptaków...
Examine/Aviarycages/Section ds2,But the birds are coming and going freely.,Ale ptaki swobodnie wchodzą i wychodzą.
Examine/Aviarycages/Section ds3,"Oh, it [h]totally[/h] is.","Och, [h]absolutnie[/h] tak."
Examine/Aviaryfgbush/Section ds0,A rather magnificent bush - somewhat [h]cruelly[/h] confined to a stone pot.,Całkiem okazały krzew - dość [h]okrutnie[/h] zamknięty w kamiennej donicy.
Examine/Aviaryfgbush/Section ds3,There's a letter [h]P[/h] carved into the side...,Z boku wyryta jest litera [h]P[/h]...
Examine/Aviaryfloorwindows/Section ds0,What's with those little windows down there?,Co z tymi małymi okienkami tam na dole?
Examine/Aviaryfloorwindows/Section ds1,I think they're there for draining rainwater.,Chyba są do odprowadzania deszczówki.
Examine/Aviaryfloorwindows/Section ds2,Oh.,Och.
Examine/Aviarymirror/Section ds0,"I don't like mirrors.
They steal your soul.","Nie lubię luster.
Kradną duszę."
Examine/Aviarymirror/Section ds4,...how do you get your hair so symmetrical without using a mirror?,"...jak sprawiasz, że twoje włosy są tak symetryczne bez używania lustra?"
Examine/Aviarymirror/Section ds5,I do it by weight. I can feel if one side is heavier than the other.,"Robię to na wagę. Czuję, jeśli jedna strona jest cięższa od drugiej."
Examine/Aviarypaintings/Section ds0,Bird diagrams - hand-painted.,Diagramy ptaków - malowane ręcznie.
Examine/Aviarypaintings/Section ds2,They're beautiful - someone really knows their stuff.,Są piękne - ktoś naprawdę zna się na rzeczy.
Examine/Aviarysky/Section ds0,...does this count as being outdoors?,...czy to się liczy jako bycie na zewnątrz?
Examine/Aviarysky/Section ds1,No.,Nie.
Examine/Aviarysky/Section ds2,Does it matter?,Czy to ma znaczenie?
Examine/Aviarysky/Section ds3,Yeah.,Tak.
Examine/BugBoardNote/Section ds0,It's a little diagram of a beetle... with some incomprehensible notes scribbled next to it.,Mały diagram żuka... z jakimiś niezrozumiałymi notatkami nabazgranymi obok.
Examine/BugBoardNote/Section ds2,...that's weird.,...to dziwne.
Examine/BugBoardNote/Section ds3,What?,Co?
Examine/BugBoardNote/Section ds4,It looks really... [h]normal.[/h],Wygląda naprawdę... [h]normalnie.[/h]
Examine/BugBoardNote/Section ds5,-compared to the beetles behind the glass.,-w porównaniu do żuków za szkłem.
Examine/BugBoardbeetles/Section ds0,"Nine beetles.
All different... all dead.","Dziewięć żuków.
Wszystkie różne... wszystkie martwe."
Examine/BugBoardbeetles/Section ds1,...poor little guys.,...biedne maluchy.
Examine/BugBoardbeetles/Section ds2,There's a bunch of notes written all around them.,Wokół nich jest cała masa zapisanych notatek.
Examine/BugBoardbeetles/Section ds3,It's mostly numbers... no idea what they mean.,"To głównie liczby... nie mam pojęcia, co znaczą."
Examine/BuildingPlanBackOutFail/Section ds0,Hold on.,Czekaj.
Examine/BuildingPlanBackOutFail/Section ds2,...have we been to [h]all[/h] of these rooms already?,...byliśmy już we [h]wszystkich[/h] tych pokojach?
Examine/BuildingPlanExamStructure/Section ds0,So... the whole house is built on top of some kind of platform?,Więc... cały dom jest zbudowany na jakiejś platformie?
Examine/BuildingPlanExamStructure/Section ds1,Apparently.,Najwyraźniej.
Examine/BuildingPlanExamStudy/Section ds0,Study.,Gabinet.
Examine/BuildingPlanExamStudy/Section ds1,I know what you're thinking.,"Wiem, o czym myślisz."
Examine/BuildingPlanExamStudy/Section ds2,Wait-,Czekaj-
Examine/BuildingPlanExamStudy/Section ds3,"And no.
We never went in there.","I nie.
Nigdy tam nie byliśmy."
Examine/BuildingPlanExamStudy/Section ds4,...how did we miss it!?,...jak to przegapiliśmy!?
Examine/BuildingPlanExamTitle/Section ds0,"Mystid Mansion.
North side cross section.","Mystid Mansion.
Przekrój strony północnej."
Examine/BuildingPlanExamTitle/Section ds1,...is it not Tangle Tower?,...to nie Tangle Tower?
Examine/BuildingPlanExamTitle/Section ds2,Tangle Tower... before the towers?,Tangle Tower... przed wieżami?
Examine/BuildingPlanExamattic/Section ds0,"...it's the room above us.
The one we were just in.","...to pokój nad nami.
Ten, w którym właśnie byliśmy."
Examine/BuildingPlanExamattic/Section ds1,The laboratory?,Laboratorium?
Examine/BuildingPlanExamattic/Section ds2,Yeah...,Tak...
Examine/BuildingPlanExamaviary/Section ds0,It's the aviary.,To ptaszarnia.
Examine/BuildingPlanExamfifis/Section ds0,A bedroom.,Sypialnia.
Examine/BuildingPlanExamfifis/Section ds1,"That's Fifi's room, isn't it?","To pokój Fifi, prawda?"
Examine/BuildingPlanExamfreyas/Section ds0,Storage.,Magazyn.
Examine/BuildingPlanExamfreyas/Section ds1,It's Freya's room.,To pokój Freyi.
Examine/BuildingPlanExamfreyas/Section ds2,...,...
Examine/BuildingPlanExamlibrary/Section ds1,The Library.,Biblioteka.
Examine/BuildingPlanExammusic/Section ds0,Music room.,Sala muzyczna.
Examine/BuildingPlanExamoriginal/Section ds0,"...that's the room we're in now, it must be.","...to musi być pokój, w którym teraz jesteśmy."
Examine/BuildingPlanExamoriginal/Section ds1,"It's not labelled as anything on these plans, though.",Na tych planach nie jest jednak niczym oznaczony.
Examine/BuildingPlanExamoriginal/Section ds2,I think it already existed when this was made.,"Myślę, że istniał już, gdy to zrobiono."
Examine/BuildingPlanExampennys/Section ds0,"Penny's room, I think.","Pokój Penny, jak sądzę."
Examine/BuildingPlanExampennys/Section ds1,A bedroom.,Sypialnia.
Examine/BuildingPlanExamrooftop/Section ds0,The rooftop garden.,Ogród na dachu.
Examine/BuildingPlanExamrooftop/Section ds1,...that name makes a little more sense in this context.,...ta nazwa ma trochę więcej sensu w tym kontekście.
Examine/BuildingPlanExamroomgrandhall/Section ds0,The grand hall.,Wielka sala.
Examine/BuildingPlanExamroomgrandhall/Section ds1,...what's that thing in the middle?,...co to za rzecz na środku?
Examine/BuildingPlanExamroomgrandhall/Section ds2,I think it's that big glass tube...?,"Myślę, że to ta wielka szklana rura...?"
Examine/BuildingPlanExamwater/Section ds0,"That's the lake, right?
I think that horizontal line might be the water level.","To jezioro, prawda?
Myślę, że ta pozioma linia to może być poziom wody."
Examine/BuildingPlanExamwater/Section ds1,...it used to be a lot lower down than it is now.,...kiedyś był dużo niższy niż teraz.
Examine/Can't reach the room/Section ds0,I... don't know what room that is.,"Ja... nie wiem, co to za pokój."
Examine/ChamberExamBase/Section ds0,They called this room a [h]study?[/h],Nazwali ten pokój [h]gabinetem?[/h]
Examine/ChamberExamBase/Section ds2,What would [h]you[/h] call it?,A jak [h]ty[/h] byś go nazwała?
Examine/ChamberExamBase/Section ds3,The... secret death chamber...,...tajną komorą śmierci...
Examine/ChamberExamBase/Section ds5,-of doom.,-zagłady.
Examine/ChamberExamBoard/Section ds0,It's a wooden pin board...,To drewniana tablica z pinezkami...
Examine/ChamberExamBoard/Section ds1,Looks like there's a couple of things missing from it...,"Wygląda, jakby czegoś z niej brakowało..."
Examine/ChamberExamBoard/Section ds4,-hung up on one of the chains.,-zawieszona na jednym z łańcuchów.
Examine/ChamberExamBurnt/Section ds0,An incinerator built into the wall...,Piec wbudowany w ścianę...
Examine/ChamberExamBurnt/Section ds1,"-but yeah, there's something.","-ale tak, coś tam jest."
Examine/ChamberExamBurnt/Section ds2,It's still pretty hot...,Wciąż całkiem gorący...
Examine/ChamberExamBurnt/Section ds3,-is there anything left inside?,-zostało coś w środku?
Examine/ChamberExamBurnt/Section ds6,It's mostly ashes...,Głównie popiół...
Examine/ChamberExamCrossbow/Section ds0,What's this?,Co to jest?
Examine/ChamberExamCrossbow/Section ds1,Something [h]somebody[/h] didn't want us to find...,"Coś, czego [h]ktoś[/h] nie chciał, żebyśmy znaleźli..."
Examine/ChamberExamNotebook/Section ds0,Coffee table... half-empty wine bottle... lamp left on...,Stolik kawowy... napoczęta butelka wina... zapalona lampa...
Examine/ChamberExamNotebook/Section ds1,Someone complacent enough to leave their [h]notebook[/h] lying around.,"Ktoś na tyle zadowolony z siebie, że zostawił swój [h]notatnik[/h] gdzie popadnie."
Examine/ChamberExamNotebook/Section ds2,I'm gonna say - someone's been using this room.,Powiem tak - ktoś korzysta z tego pokoju.
Examine/ChamberExamPhoto/Section ds0,...who are all the people in this photo?,...kim są wszyscy ludzie na tym zdjęciu?
Examine/ChamberExamPhoto/Section ds1,Their eyes have all been crossed out.,Wszystkim wykreślono oczy.
Examine/ChamberExamPhoto/Section ds2,Not sure. But it looks like someone didn't like them very much.,"Nie jestem pewna. Ale wygląda, jakby ktoś ich nie lubił zbyt mocno."
Examine/Chamberbeast/Section ds1,"You know, in any normal room - this thing would be my main concern.","Wiesz, w każdym normalnym pokoju to byłoby moim głównym zmartwieniem."
Examine/Chamberbeast/Section ds4,In here though? It barely makes the top three.,A tutaj? Ledwo łapie się do pierwszej trójki.
Examine/Chamberbones/Section ds0,If [h]that's[/h] a bird skull...,Jeśli [h]to[/h] jest czaszka ptaka...
Examine/Chamberbones/Section ds1,Some kind of fish... and a bird skull... I guess?,Jakaś ryba... i czaszka ptaka... chyba?
Examine/Chamberbones/Section ds2,We're talking about a fifteen-foot bird here.,To mówimy o piętnastometrowym ptaku.
Examine/Chamberbones/Section ds3,"Well, how about we [h]stop[/h] talking about it.","Cóż, może [h]przestańmy[/h] o tym mówić."
Examine/Chamberbookcase/Section ds0,"It's a bookcase.
It's mostly empty.","To regał na książki.
Głównie pusty."
Examine/Chamberbookcase/Section ds1,What a surprise.,Co za niespodzianka.
Examine/Chamberbug/Section ds0,Centipede? Millipede?,Stonoga? Krocionóg?
Examine/Chamberbug/Section ds5,How many legs has it got?,Ile ma nóg?
Examine/Chamberbug/Section ds6,Too many.,Za dużo.
Examine/Chambercages/Section ds0,Some of them are... [h]disconcertingly[/h] large.,Niektóre z nich są... [h]niepokojąco[/h] duże.
Examine/Chambercages/Section ds1,Those [h]aren't[/h] birdcages.,To [h]nie[/h] są klatki dla ptaków.
Examine/Chambercages/Section ds2,At least they're all empty.,Przynajmniej wszystkie są puste.
Examine/Chambercages/Section ds3,...you sure that's a good thing?,"...jesteś pewien, że to dobra rzecz?"
Examine/Chamberceiling/Section ds0,I think we're underneath the rooftop garden.,"Myślę, że jesteśmy pod ogrodem na dachu."
Examine/Chamberceiling/Section ds1,There's water coming through the ceiling...,Przez sufit sączy się woda...
Examine/Chamberchair/Section ds0,It's still warm...,Jest wciąż ciepłe...
Examine/Chamberchair/Section ds1,Nice chair.,Ładne krzesło.
Examine/Chamberchair/Section ds2,Maybe it's just heat from the incinerator.,Może to tylko ciepło od pieca.
Examine/Chamberchair/Section ds3,Maybe.,Może.
Examine/Chamberhooks/Section ds1,"Hooks.
","Haki.
"
Examine/Chamberhooks/Section ds5,[h]Big[/h] hooks.,[h]Duże[/h] haki.
Examine/Chamberladderhatch/Section ds0,Doesn't look like there's any other way to get in or out.,"Nie wygląda, żeby był jakiś inny sposób, żeby się tu dostać lub wyjść."
Examine/Chamberladderhatch/Section ds1,That's how we got in. It leads down into the grand hall.,"Tędy się tu dostaliśmy. Prowadzi w dół, do wielkiej sali."
Examine/Chamberpaper/Section ds1,Crumpled up paper.,Zmięty papier.
Examine/Chamberpaper/Section ds2,...is there anything written on any of it?,...jest coś na nim napisane?
Examine/Chamberpaper/Section ds3,Not really. It's mostly blank.,Niezupełnie. W większości jest pusty.
Examine/Chamberrug/Section ds1,Nice rug.,Ładny dywan.
Examine/Chamberserpent/Section ds0,Dragon?,Smok?
Examine/Chamberserpent/Section ds1,Snake?,Wąż?
Examine/Chamberserpent/Section ds2,...[h]Wyrm?[/h],...[h]Wywerna?[/h]
Examine/Chamberserpent/Section ds3,That's the one.,O to chodzi.
Examine/Chamberstairs/Section ds0,Whoever designed this room really wanted to make the most of a relatively small space...,"Kto by nie zaprojektował tego pokoju, naprawdę chciał wycisnąć maksimum z względnie małej przestrzeni..."
Examine/Chamberstairs/Section ds1,A staircase up to a little mezzanine.,Schody prowadzące na małe antresolę.
Examine/Chamberstool/Section ds1,A wooden stool.,Drewniany stołek.
Examine/Chambertube/Section ds3,Do those look like scratch marks to you? On the glass?,Wyglądają ci to na ślady po pazurach? Na szkle?
Examine/Chambertube/Section ds4,They're on the inside.,Są po wewnętrznej stronie.
Examine/Chambertube/Section ds5,...Yeah.,...Tak.
Examine/Chamberweapons/Section ds2,I'm more worried about the third one.,Bardziej martwi mnie ta trzecia.
Examine/Chamberweapons/Section ds3,The [h]third[/h] one?,[h]Trzecia?[/h]
Examine/Chamberweapons/Section ds4,The one that [h]isn't[/h] there.,"Ta, której tam [h]nie ma.[/h]"
Examine/Chamberweapons/Section ds5,"An axe, and some kind of hunting rifle, mounted on the wall.","Siekiera i jakiś rodzaj strzelby myśliwskiej, zawieszone na ścianie."
Examine/Chamberweapons/Section ds7,Honestly doesn't look like they've been moved in a few years.,"Szczerze, nie wygląda, żeby ktoś ich ruszał od lat."
Examine/Chamberwoodenfloor/Section ds0,Thanks...,Dzięki...
Examine/Chamberwoodenfloor/Section ds1,"Watch out.
The floor's wet.","Uważaj.
Podłoga jest mokra."
Examine/Chapter lock S/Section ds1,Probably not a good idea - right now.,Chyba nie najlepszy pomysł - w tej chwili.
Examine/Chapter lock/Section ds1,Let's not wander off right now.,Nie oddalajmy się teraz.
Examine/Crack Exit/Section ds0,...,...
Examine/Crack Exit/Section ds4,...,...
Examine/Crack/Section ds0,...is that what I think it is?,"...to to, o czym myślę?"
Examine/CreaturePuzzleBackOut/Section ds0,This crab really reminds me of something...,Ten krab naprawdę mi coś przypomina...
Examine/CreaturePuzzleBackOut/Section ds1,Yeah - but I don't think that's going to help us.,"Tak - ale nie sądzę, żeby to nam pomogło."
Examine/CreaturePuzzleBackOut/Section ds2,That little wooden toy we found...?,"Tę małą drewnianą zabawkę, którą znaleźliśmy...?"
Examine/CreaturePuzzleBackOut/Section ds3,I think I've seen it more recently...,"Myślę, że widziałam go ostatnio gdzie indziej..."
Examine/CreaturePuzzleExam/Section ds1,"Also - crabs normally have two claws, right? Not three?","Poza tym - kraby normalnie mają dwa szczypce, prawda? Nie trzy?"
Examine/CreaturePuzzleExam/Section ds1 Choice 1,Look closer.,Przyjrzyj się bliżej.
Examine/CreaturePuzzleExam/Section ds1 Choice 2,Leave it alone.,Zostaw go w spokoju.
Examine/CreaturePuzzleExam/Section ds4,It's got a translucent exoskeleton. You can actually see its insides.,Ma przezroczysty egzoszkielet. Naprawdę widać jego wnętrzności.
Examine/CreaturePuzzleExam/Section ds7,...is that a crab!?,...to krab!?
Examine/CreaturePuzzleFail1/Section ds0,I guess that's wrong...?,Chyba to źle...?
Examine/CreaturePuzzleFail1/Section ds2,I don't think we need to guess.,"Nie sądzę, żebyśmy musieli zgadywać."
Examine/CreaturePuzzleFail1/Section ds3,What d'you mean?,Co masz na myśli?
Examine/CreaturePuzzleFail1/Section ds4,We have all the information we need in our case file.,Mamy wszystkie potrzebne informacje w naszych aktach.
Examine/CreaturePuzzleFail2/Section ds0,Nothing.,Nic.
Examine/CreaturePuzzleFail2/Section ds2,"I'm [h]sure[/h] I've seen this thing somewhere before. Recently, too.","[h]Jestem pewna[/h], że gdzieś już to widziałam. Też niedawno."
Examine/CreaturePuzzleFail3/Section ds0,Nope.,Nie.
Examine/CreaturePuzzleFail3/Section ds2,...wasn't this crab in that book we found?,"...czy tego kraba nie było w tamtej książce, którą znaleźliśmy?"
Examine/CreaturePuzzleFail3/Section ds3,The children's book?,W dziecięcej książeczce?
Examine/CreaturePuzzleFindTheCrossbow/Section ds0,What's this...?,Co to jest...?
Examine/CreaturePuzzleFindTheCrossbow/Section ds1,Something somebody didn't want us to find...,"Coś, czego ktoś nie chciał, żebyśmy znaleźli..."
Examine/CreaturePuzzleOnEnter/Section ds0,Ugh... you sure we should be touching it?,"Ugh... jesteś pewien, że powinniśmy tego dotykać?"
Examine/CreaturePuzzleOnEnter/Section ds1,"Grimoire, don't you think it looks familiar?","Grimoire, nie wydaje ci się to znajome?"
Examine/CreaturePuzzleSuccess/Section ds0,Perfect.,Idealnie.
Examine/CreaturePuzzledotdotdot/Section ds0,......,......
Examine/Crossbow Base/Section ds0,We need something that could attach to the crossbow...,"Potrzebujemy czegoś, co dałoby się przymocować do kuszy..."
Examine/Crossbow OnEnter/Section ds0,Let's see if we can put this thing back together...,"Zobaczmy, czy uda się to złożyć z powrotem..."
Examine/Crossbow OnEnter/Section ds2,You think we have everything we need?,"Myślisz, że mamy wszystko, czego trzeba?"
Examine/Crossbow OnEnter/Section ds3,Mhm.,Mhm.
Examine/Crossbow Wrong clue/Section ds0,We need something that could attach to the crossbow...,"Potrzebujemy czegoś, co dałoby się przymocować do kuszy..."
Examine/Crossbow Wrong clue/Section ds1,That... doesn't seem right.,To... nie wygląda dobrze.
Examine/Crossbow Wrong place/Section ds0,I think that [h]might[/h] attach to the crossbow...,"Myślę, że [h]to[/h] mogłoby się przymocować do kuszy..."
Examine/Crossbow Wrong place/Section ds2,But not [h]this[/h] part of the crossbow.,Ale nie do [h]tej[/h] części kuszy.
Examine/Crossbow front Wrong clue 2/Section ds1,Let's think about it - what does a crossbow need to fire?,"Pomyślmy o tym - czego potrzebuje kusza, żeby strzelić?"
Examine/Crossbow front Wrong clue 2/Section ds2,...an arrow?,...strzały?
Examine/Crossbow top Wrong clue 2/Section ds1,Let's think about it - what might attach to the top of a gun?,Pomyślmy o tym - co mogłoby się przymocować na górze broni?
Examine/Crossbow top Wrong clue 2/Section ds2,I dunno. Sights? Some kind of scope?,Nie wiem. Celownik? Jakiś rodzaj lunety?
Examine/Crossbow top Wrong clue 2/Section ds3,Right.,Racja.
Examine/Crossbow underside Wrong clue 2/Section ds1,Something that fits underneath the crossbow...,"Coś, co pasuje pod kuszę..."
Examine/Crossbow underside Wrong clue 2/Section ds2,Something with a screw on the top?,Coś z gwintem na górze?
Examine/Delete Save/Section ds0,Do you want to delete this save?,Chcesz usunąć ten zapis?
Examine/Delete Save/Section ds0 Choice 1,No,Nie
Examine/Delete Save/Section ds0 Choice 2,Yes,Tak
Examine/Delete Save/Section ds2,Are you sure?,Jesteś pewien?
Examine/Delete Save/Section ds2 Choice 1,Delete save,Usuń zapis
Examine/Delete Save/Section ds2 Choice 2,Don't delete,Nie usuwaj
Examine/DemoEscape/Section ds0,There's some kind of mystical force keeping me inside this room...,Jakaś mistyczna siła trzyma mnie w tym pokoju...
Examine/DemoEscape/Section ds1,Oh. Right. It's probably because this is the demo version.,"Och. No tak. Pewnie dlatego, że to wersja demo."
Examine/DemoEscape/Section ds1 Choice 1,Keep playing,Graj dalej
Examine/DemoEscape/Section ds1 Choice 2,End demo,Zakończ demo
Examine/DeskExamBirdsInk/Section ds0,birds badly drawn in ink,ptaki kiepsko narysowane tuszem
