term,en,pl
Souls/Suspicions/Felix 2,There's something suspicious about,Jest coś podejrzanego w kwestii
Souls/Suspicions/Felix 3,Felix's painting supplies...,materiałów malarskich Felixa...
Souls/Suspicions/Felix 4,"Felix's red paint pot was found at the crime scene, with blood in it.","Czerwony pojemnik z farbą Felixa znaleziono na miejscu zbrodni, z krwią w środku."
Souls/Suspicions/Felix 5,The red paint pot from Felix's room actually belongs to Freya.,Czerwony pojemnik z farbą z pokoju Felixa tak naprawdę należy do Freyi.
Souls/Suspicions/Felix 6,"Felix was painting a model for Flora, but needed red paint.","Felix malował model dla Flory, ale potrzebował czerwonej farby."
Souls/Suspicions/Felix 7,"He asked Freya to borrow her paint, but she said no.","Poprosił Freyę o pożyczenie jej farby, ale odmówiła."
Souls/Suspicions/Felix 8,He took Freya's red paint pot and swapped the lid to disguise it.,"Wziął czerwony pojemnik z farbą Freyi i zamienił wieczko, żeby to zamaskować."
Souls/Suspicions/Felix 9,He left his own empty red paint pot in Freya's room.,Zostawił swój własny pusty czerwony pojemnik z farbą w pokoju Freyi.
Souls/Suspicions/Fifi 1,...is there anything suspicious about Fifi?,...czy jest coś podejrzanego w kwestii Fifi?
Souls/Suspicions/Fifi 10,Fifi unlocked the diary.,Fifi odblokowała pamiętnik.
Souls/Suspicions/Fifi 2,There's something suspicious about,Jest coś podejrzanego w kwestii
Souls/Suspicions/Fifi 3,the secret diary...,tajnego pamiętnika...
Souls/Suspicions/Fifi 4,A photograph proved that the diary actually belonged to Freya.,"Fotografia dowiodła, że pamiętnik tak naprawdę należał do Freyi."
Souls/Suspicions/Fifi 5,Why did Fifi have it hidden in her room? And why is it locked?,Czemu Fifi trzymała go ukrytego w swoim pokoju? I czemu jest zamknięty na klucz?
Souls/Suspicions/Fifi 6,Fifi admits that the diary belonged to Freya.,"Fifi przyznaje, że pamiętnik należał do Freyi."
Souls/Suspicions/Fifi 7,Fifi hid it in her room because she didn't want anyone to read it.,"Fifi ukryła go w swoim pokoju, bo nie chciała, żeby ktokolwiek go przeczytał."
Souls/Suspicions/Fifi 8,Freya wrote things in her diary which seem suspicious.,"Freya napisała w swoim pamiętniku rzeczy, które wydają się podejrzane."
Souls/Suspicions/Fifi 9,Fifi didn't want the diary to incriminate Freya.,"Fifi nie chciała, żeby pamiętnik obciążył Freyę."
Souls/Suspicions/Fitz 1,...is there anything suspicious about Fitz?,...czy jest coś podejrzanego w kwestii Fitza?
Souls/Suspicions/Fitz 10,"Penny ignores the flower, so Fitz looks after it instead.","Penny ignoruje kwiat, więc zamiast niej zajmuje się nim Fitz."
Souls/Suspicions/Fitz 2,There's something suspicious about,Jest coś podejrzanego w kwestii
Souls/Suspicions/Fitz 3,the report of Fitz with a knife...,doniesienia o Fitzu z nożem...
Souls/Suspicions/Fitz 4,Fifi says she saw Fitz carrying a knife up Pointer Tower.,"Fifi mówi, że widziała, jak Fitz niósł nóż na wieżę Pointerów."
Souls/Suspicions/Fitz 5,He was actually carrying his ornate trowel up to Penny's room.,Tak naprawdę niósł swoją ozdobną łopatkę do pokoju Penny.
Souls/Suspicions/Fitz 6,Fitz regularly goes into Penny's room with the ornate trowel.,Fitz regularnie wchodzi do pokoju Penny z ozdobną łopatką.
Souls/Suspicions/Fitz 7,He uses it to look after a potted flower Penny has in her room.,"Używa jej, żeby zajmować się kwiatem w donicy, który Penny trzyma w swoim pokoju."
Souls/Suspicions/Fitz 8,The flower was a gift from Fitz to Penny.,Kwiat był prezentem od Fitza dla Penny.
Souls/Suspicions/Fitz 9,Fitz is able to breed flowers with particular colours.,Fitz potrafi hodować kwiaty o określonych kolorach.
Souls/Suspicions/Flora 1,...is there anything suspicious about Flora?,...czy jest coś podejrzanego w kwestii Flory?
Souls/Suspicions/Flora 10,The feather is normally kept inside Flora's ceramic egg.,Pióro zwykle trzymane jest wewnątrz ceramicznego jajka Flory.
Souls/Suspicions/Flora 2,There's something suspicious about,Jest coś podejrzanego w kwestii
Souls/Suspicions/Flora 3,the unfinished portrait of Flora Fellow.,niedokończonego portretu Flory Fellow.
Souls/Suspicions/Flora 4,The painted image of Flora is not holding a knife.,Namalowany wizerunek Flory nie trzyma noża.
Souls/Suspicions/Flora 5,She's actually holding a red and white Inkdip feather.,Tak naprawdę trzyma czerwono-białe pióro ptaka Inkdip.
Souls/Suspicions/Flora 6,"Flora once owned a rare Inkdip bird, with white and red feathers.","Flora posiadała kiedyś rzadkiego ptaka Inkdip, o biało-czerwonych piórach."
Souls/Suspicions/Flora 7,Felix included the Inkdip bird in a model he made for Flora.,"Felix umieścił ptaka Inkdip w modelu, który zrobił dla Flory."
Souls/Suspicions/Flora 8,Flora was holding an Inkdip feather while she was being painted.,"Flora trzymała pióro Inkdip, gdy była malowana."
Souls/Suspicions/Flora 9,The feather was not found anywhere at the crime scene.,Pióra nie znaleziono nigdzie na miejscu zbrodni.
Souls/Suspicions/Freya 1,Murder victim: Freya Fellow (19)Died whilst painting a portrait of Flora Fellow (58),Ofiara morderstwa: Freya Fellow (19)Zginęła podczas malowania portretu Flory Fellow (58)
Souls/Suspicions/Freya 10,Where is the red and white Inkdip feather now?,Gdzie jest teraz czerwono-białe pióro Inkdip?
Souls/Suspicions/Freya 11,How did blood get into the red paint pot?,Jak krew dostała się do czerwonego pojemnika z farbą?
Souls/Suspicions/Freya 12,What was the murder weapon?,Jakie było narzędzie zbrodni?
Souls/Suspicions/Freya 13,How was Freya stabbed?,Jak dźgnięto Freyę?
Souls/Suspicions/Freya 14,When did Freya fall over backwards?,Kiedy Freya upadła do tyłu?
Souls/Suspicions/Freya 2,"Location: Flora's Tower.Flora was present, as she was posing for a portrait.","Miejsce: Wieża Flory.Flora była obecna, gdyż pozowała do portretu."
Souls/Suspicions/Freya 3,"Freya Fellow was found lying on her back,with a single stab wound on her chest.","Freyę Fellow znaleziono leżącą na plecach,z pojedynczą raną kłutą na klatce piersiowej."
Souls/Suspicions/Freya 4,"No weapon was found at the scene, but the subject of Freya's unfinished painting is holding a knife.","Nie znaleziono broni na miejscu zbrodni, ale postać na niedokończonym obrazie Freyi trzyma nóż."
Souls/Suspicions/Freya 5,The red colour on the tip of the knife is not paint.It was discovered to be blood.,"Czerwony kolor na czubku noża to nie farba.Odkryto, że to krew."
Souls/Suspicions/Freya 6,...how was Freya killed?,...jak zginęła Freya?
Souls/Suspicions/Freya 7,Could Freya really havebeen stabbed by a painting...?,Czy Freya naprawdę mogła zostaćdźgnięta przez obraz...?
Souls/Suspicions/Freya 8,The knife in the painting was actually a red and white feather.,Nóż na obrazie był tak naprawdę czerwono-białym piórem.
Souls/Suspicions/Freya 9,"It was painted with blood, which was already in Freya's paint pot.","Został namalowany krwią, która była już w pojemniku z farbą Freyi."
Souls/Suspicions/Hawkshaw 1,...is there anything suspicious about Hawkshaw?,...czy jest coś podejrzanego w kwestii Hawkshaw?
Souls/Suspicions/Hawkshaw 10,Hawkshaw's lead suspect for the theft was Freya Fellow.,Głównym podejrzanym Hawkshaw w sprawie kradzieży była Freya Fellow.
Souls/Suspicions/Hawkshaw 2,There's something suspicious about,Jest coś podejrzanego w kwestii
Souls/Suspicions/Hawkshaw 3,Hawkshaw's handheld microscope...,ręcznego mikroskopu Hawkshaw...
Souls/Suspicions/Hawkshaw 4,Hawkshaw said she had a small microscope for detective work.,"Hawkshaw powiedziała, że ma mały mikroskop do pracy detektywistycznej."
Souls/Suspicions/Hawkshaw 5,But Fifi said it actually has a telescopic lens.,"Ale Fifi powiedziała, że tak naprawdę ma soczewkę teleskopową."
Souls/Suspicions/Hawkshaw 6,Hawkshaw admits it's a telescope she's had since childhood.,"Hawkshaw przyznaje, że to teleskop, który ma od dzieciństwa."
Souls/Suspicions/Hawkshaw 7,She is aware of Professor Pointer's work in astronomy.,Wie o pracy profesora Pointera w dziedzinie astronomii.
Souls/Suspicions/Hawkshaw 8,"Pointer hired her to find his golden beetle, which has gone missing.","Pointer wynajął ją, żeby znalazła jego złotego żuka, który zaginął."
Souls/Suspicions/Hawkshaw 9,Pointer thinks it was stolen by somebody at Tangle Tower.,"Pointer myśli, że został skradziony przez kogoś w Tangle Tower."
Souls/Suspicions/Penny 1,...is there anything suspicious about Penny?,...czy jest coś podejrzanego w kwestii Penny?
Souls/Suspicions/Penny 10,Penny feels that Fitz is slipping away from her.,"Penny czuje, że Fitz się od niej oddala."
Souls/Suspicions/Penny 2,There's something suspicious about,Jest coś podejrzanego w kwestii
Souls/Suspicions/Penny 3,the crumpled paper...,zmiętego papieru...
Souls/Suspicions/Penny 4,The petals are taken from red roses in the rooftop garden.,Płatki pochodzą z czerwonych róż w ogrodzie na dachu.
Souls/Suspicions/Penny 5,Penny used one of her birds to spy on Poppy and Fitz.,"Penny użyła jednego ze swoich ptaków, żeby szpiegować Poppy i Fitza."
Souls/Suspicions/Penny 6,Fitz and Poppy often spent time together in the rooftop garden.,Fitz i Poppy często spędzali razem czas w ogrodzie na dachu.
Souls/Suspicions/Penny 7,Penny was paranoid about the two of them.,Penny była paranoiczna na punkcie ich dwojga.
Souls/Suspicions/Penny 8,Penny sent her yellow bird Tabitha to spy on them.,"Penny wysłała swojego żółtego ptaka Tabithę, żeby ich szpiegował."
Souls/Suspicions/Penny 9,Tabitha stole rose petals as evidence of what they were doing.,"Tabitha ukradła płatki róży jako dowód tego, co robili."
Souls/Suspicions/Pointer 1,...is there anything suspicious about Pointer?,...czy jest coś podejrzanego w kwestii Pointera?
Souls/Suspicions/Pointer 10,"He couldn't see Freya at all, because of the angle of his telescope.","W ogóle nie widział Freyi, z powodu kąta ustawienia teleskopu."
Souls/Suspicions/Pointer 2,There's something suspicious about,Jest coś podejrzanego w kwestii
Souls/Suspicions/Pointer 3,Pointer's research interests...,zainteresowań badawczych Pointera...
Souls/Suspicions/Pointer 4,Professor Pointer has insect research hidden in his Astronomy Tower.,Profesor Pointer ma ukryte badania nad owadami w swojej wieży astronomicznej.
Souls/Suspicions/Pointer 5,...is he really interested in astronomy at all?,...czy w ogóle naprawdę interesuje się astronomią?
Souls/Suspicions/Pointer 6,"Pointer admitted he had a rare insect specimen, the 'Golden Beetle'.","Pointer przyznał, że miał rzadki okaz owada, 'Złotego Żuka'."
Souls/Suspicions/Pointer 7,The Golden Beetle went missing and he thinks Freya stole it.,"Złoty Żuk zaginął i Pointer myśli, że ukradła go Freya."
Souls/Suspicions/Pointer 8,He was using his telescope to spy on Flora and Freya.,"Używał swojego teleskopu, żeby szpiegować Florę i Freyę."
Souls/Suspicions/Pointer 9,"He saw Flora was laying on the floor, around the time of the murder.","Widział, że Flora leżała na podłodze, mniej więcej w czasie morderstwa."
Souls/Suspicions/Poppy 1,...is there anything suspicious about Poppy?,...czy jest coś podejrzanego w kwestii Poppy?
Souls/Suspicions/Poppy 10,"Poppy used to like bright pink, but she doesn't anymore.","Poppy kiedyś lubiła jaskrawy róż, ale już nie lubi."
Souls/Suspicions/Poppy 2,There's something suspicious about,Jest coś podejrzanego w kwestii
Souls/Suspicions/Poppy 3,this pink cassette tape...,tej różowej kasety magnetofonowej...
Souls/Suspicions/Poppy 4,The pink cassette tape has piano music recorded on it.,Na różowej kasecie magnetofonowej nagrana jest muzyka fortepianowa.
Souls/Suspicions/Poppy 5,Does it belong to Poppy? Why was it found at the crime scene?,Czy należy do Poppy? Czemu znaleziono ją na miejscu zbrodni?
Souls/Suspicions/Poppy 6,Poppy admits the pink cassette tape used to belong to her.,"Poppy przyznaje, że różowa kaseta magnetofonowa kiedyś należała do niej."
Souls/Suspicions/Poppy 7,She recorded piano music on it and gave it to Freya.,Nagrała na niej muzykę fortepianową i dała ją Freyi.
Souls/Suspicions/Poppy 8,The crack on the tape must have happened quite recently.,Pęknięcie na kasecie musiało powstać dość niedawno.
Souls/Suspicions/Poppy 9,Freya liked to listen to music on the gramophone while painting.,Freya lubiła słuchać muzyki z gramofonu podczas malowania.
Souls/Topics/Hunter/A Lowly Entomologist,A Lowly Entomologist,Marny Entomolog
Souls/Topics/Hunter/Penelope Pointer,Penelope Pointer,Penelope Pointer
Souls/Topics/Hunter/The Era of Mystid Mansion,"The Era of 
Mystid Mansion","Era 
Mystid Mansion"
Souls/Topics/Hunter/The Will of Freya Fellow,"The Will of 
Freya Fellow","Wola 
Freyi Fellow"
Souls/Topics/Introduction,Encounter,Spotkanie
Souls/Topics/Sally/A Strange Photograph,A Strange Photograph,Dziwna Fotografia
Souls/Topics/Sally/A Weapon,A Weapon,Broń
Souls/Topics/Sally/Five People,Five People,Pięcioro Ludzi
Souls/Topics/Sally/Machinations of Murder,Machinations of Murder,Machinacje Morderstwa
Souls/Topics/Sally/Secret Laboratory,Secret Laboratory,Tajne Laboratorium
Souls/Topics/Sally/Suspect Statements,Suspect Statements,Zeznania Podejrzanych
Souls/Topics/Sally/The Crime Scene,The Crime Scene,Miejsce Zbrodni
Souls/Topics/Sally/The Lake,The Lake,Jezioro
Souls/Topics/Sally/The Missing Clue,The Missing Clue,Brakujący Trop
Souls/Topics/Sally/The Study,The Study,Gabinet
Souls/Topics/Statement,Statement,Zeznanie
Souls/Topics/Suspicion,Suspicion,Podejrzenie
Souls/Topics/Yesterday,Yesterday,Wczoraj
Souls/Topics/Yourself,Yourself,Ty Sam
