term,en,pl
Conversation/FelixFelixsModels/Section ds22,[h]!![/h],[h]!![/h]
Conversation/FelixFelixsModels/Section ds23,-safety first... and all that.,-bezpieczeństwo przede wszystkim... i tak dalej.
Conversation/FelixFelixsModels/Section ds7,I've been carving for a couple of years now...,Rzeźbię już od paru lat...
Conversation/FelixFelixsModels/Section ds8,"I was hopeless when I started but, it didn't take me long to - [h]master[/h] it - as you can see.","Na początku byłem beznadziejny, ale niedługo mi zajęło, żeby to - [h]opanować[/h] - jak widać."
Conversation/FelixFelixsModels/Section ds9,......,......
Conversation/FelixFifi/Section ds10,"Hahahaha!
She makes up the [h]strangest[/h] things when she's under pressure.","Hahahaha!
Wymyśla [h]najdziwniejsze[/h] rzeczy, kiedy jest pod presją."
Conversation/FelixFifi/Section ds11,What makes you think she made that up?,"Co sprawia, że myślisz, że to zmyśliła?"
Conversation/FelixFifi/Section ds12,I happen to know the [h]real[/h] reason she prefers Fifi over Fiona.,"Tak się składa, że znam [h]prawdziwy[/h] powód, dla którego woli Fifi niż Fiona."
Conversation/FelixFifi/Section ds13,It's what Freya called her.,Tak nazywała ją Freya.
Conversation/FelixFifi/Section ds14,Oh yeah?,Ach tak?
Conversation/FelixFifi/Section ds15,Our little burgeoning genius - you've met her?,Nasz mały rozkwitający geniusz - poznaliście ją już?
Conversation/FelixFifi/Section ds3,My daughter Fiona!,Moja córka Fiona!
Conversation/FelixFifi/Section ds4,We did. She's going by [h]Fifi[/h] - these days.,Owszem. Ostatnio przedstawia się jako [h]Fifi[/h].
Conversation/FelixFifi/Section ds6,So I've heard.,Tak słyszałem.
Conversation/FelixFifi/Section ds7,I asked her some weeks ago - what's wrong with your [h]real[/h] name?,Zapytałem ją kilka tygodni temu - co jest nie tak z twoim [h]prawdziwym[/h] imieniem?
Conversation/FelixFifi/Section ds8,She told me - get this - she wanted a name with an [h]even[/h] number of syllables.,Powiedziała mi - a nie zgadniecie - że chciała imienia z [h]parzystą[/h] liczbą sylab.
Conversation/FelixFitz/Section ds10,Did you two have an argument?,Pokłóciliście się we dwójkę?
Conversation/FelixFitz/Section ds11,[i]...an onion?[/i],[i]...cebula?[/i]
Conversation/FelixFitz/Section ds16,And I trust Fiona's judgement entirely - she's a very vigilant young woman.,I całkowicie ufam osądowi Fiony - to bardzo czujna młoda kobieta.
Conversation/FelixFitz/Section ds20,"Oh, no - but my daughter doesn't like him at [h]all.[/h]","Ach, nie - ale moja córka [h]w ogóle[/h] go nie lubi."
Conversation/FelixFitz/Section ds21,"Fitz...?
I don't trust him.","Fitz...?
Nie ufam mu."
Conversation/FelixFitz/Section ds9,"He's slippery.
Never commits to anything.
Brain like an onion.","Jest wywrotny.
Nigdy się do niczego nie zobowiązuje.
Umysł jak cebula."
Conversation/FelixFlora/Section ds10,...it's true she has an independent streak - had it her whole life.,"...to prawda, że ma niezależną naturę - miała ją całe życie."
Conversation/FelixFlora/Section ds11,Lone wolf is putting it lightly... she doesn't seem to want to talk to [h]anyone.[/h],Samotny wilk to mało powiedziane... zdaje się w ogóle nie chcieć rozmawiać z [h]nikim.[/h]
Conversation/FelixFlora/Section ds12,She just... likes time to herself - away from the company of other humans.,Ona po prostu... lubi czas dla siebie - z dala od towarzystwa innych ludzi.
Conversation/FelixFlora/Section ds14,Other - [h]humans?[/h],Innych - [h]ludzi?[/h]
Conversation/FelixFlora/Section ds17,Other-,Innych-
Conversation/FelixFlora/Section ds18,"...well, yes.
Other people, you know.","...cóż, tak.
Innych ludzi, wiesz."
Conversation/FelixFlora/Section ds19,"A [h]remarkable[/h] woman, oh yes. Been married over twenty years, now...","[h]Niezwykła[/h] kobieta, ach tak. Zamężna już ponad dwadzieścia lat..."
Conversation/FelixFlora/Section ds20,Just the way she is.,Po prostu taka już jest.
Conversation/FelixFlora/Section ds22,"She's the youngest of three... always something of a lone [h]wolf[/h], you know?","Jest najmłodsza z trójki... zawsze była trochę samotnym [h]wilkiem,[/h] wiesz?"
Conversation/FelixFlora/Section ds23,[h]!![/h],[h]!![/h]
Conversation/FelixFlora/Section ds3,Dearest Flora...,Najdroższa Flora...
Conversation/FelixFlora/Section ds4,You two still get on?,"Nadal się dogadujecie, wy dwie?"
Conversation/FelixFlora/Section ds5,"Of course!
What a [h]question[/h]...","Ależ oczywiście!
Co za [h]pytanie[/h]..."
Conversation/FelixFlora/Section ds6,She hasn't gone [h]quiet[/h] on you?,Nie [h]zamilkła[/h] przed tobą?
Conversation/FelixFlorasDrawings/Section ds10,These drawings are quite precious.,Te rysunki są dość cenne.
Conversation/FelixFlorasDrawings/Section ds12,I'm surprised Flora let you see them.,"Dziwię się, że Flora pozwoliła ci je zobaczyć."
Conversation/FelixFlorasDrawings/Section ds13,What happened to the bird? Did it die?,Co się stało z tym ptakiem? Zdechł?
Conversation/FelixFlorasDrawings/Section ds14,I don't know.,Nie wiem.
Conversation/FelixFlorasDrawings/Section ds15,"Seems likely though, doesn't it?","Wygląda jednak na prawdopodobne, prawda?"
Conversation/FelixFourFeathers/Section ds7,"...is that a clue?
Really?","...to trop?
Naprawdę?"
Conversation/FelixFourFeathers/Section ds9,It might be!,Może być!
Conversation/FelixFreya/Section ds21,A rare and valuable soul.,Rzadka i cenna dusza.
Conversation/FelixFreya/Section ds22,[h]Uncommonly[/h] skilled as an artist... but Freya was so much [h]more[/h] than her talent.,[h]Niezwykle[/h] uzdolniona jako artystka... ale Freya była czymś [h]znacznie więcej[/h] niż jej talent.
Conversation/FelixFreya/Section ds25,"Taught me what she knew about wood carving, too.","Nauczyła mnie też tego, co wiedziała o rzeźbieniu w drewnie."
Conversation/FelixFreya/Section ds26,"[h]Tremendous[/h] patience.
She was ever so good with dear Flora.","[h]Ogromna[/h] cierpliwość.
Była zawsze tak dobra dla drogiej Flory."
Conversation/FelixFreya/Section ds27,"Oh yes, especially after-
Especially... recently.","Ach tak, zwłaszcza po-
Zwłaszcza... ostatnio."
Conversation/FelixFreya/Section ds28,...how are [h]you[/h] related to Freya?,...jak właściwie [h]ty[/h] jesteś spokrewniony z Freyą?
Conversation/FelixFreya/Section ds29,"Somewhat distantly, as it happens.","Dość odlegle, jak się składa."
Conversation/FelixFreya/Section ds30,"My father, Lord Fellow, was her grandfather. [h]Technically[/h] that makes her a Fellow...","Mój ojciec, Lord Fellow, był jej dziadkiem. [h]Technicznie[/h] czyni to z niej Fellow..."
Conversation/FelixFreya/Section ds31,...let's just say - there was some discussion over whether she ought to carry the name at all.,"...powiedzmy tylko, że była pewna dyskusja o tym, czy w ogóle powinna nosić to nazwisko."
Conversation/FelixFreya/Section ds32,There's a family tree in the grand hall - you should take a look at it.,W wielkiej sali jest drzewo genealogiczne - powinieneś na nie zerknąć.
Conversation/FelixFreya/Section ds33,What about her inheritance?,A co z jej spadkiem?
Conversation/FelixFreya/Section ds40,I'm afraid not. She had no formal claim over [h]anything[/h] at Tangle Tower.,"Obawiam się, że nie. Nie miała żadnych formalnych praw do [h]niczego[/h] w Tangle Tower."
Conversation/FelixFreya/Section ds43,Nobody left her a [h]thing?[/h],Nikt nie zostawił jej [h]niczego?[/h]
Conversation/FelixFreya/Section ds44,Freya's parents died when she was around three years old. ,"Rodzice Freyi zmarli, gdy miała około trzech lat."
Conversation/FelixFreya/Section ds47,Freya and Flora were close?,Freya i Flora były sobie bliskie?
Conversation/FelixFreya/Section ds49,"She helped me get started with my [h]own[/h] painting, you know.","Pomogła mi zacząć z moim [h]własnym[/h] malowaniem, wiesz."
Conversation/FelixFreya/Section ds50,She came to live here shortly afterwards.,Zamieszkała tu wkrótce potem.
Conversation/FelixFreyasDrawings/Section ds10,"...not in an evil way.
In a good way.","...nie w złym sensie.
W dobrym sensie."
Conversation/FelixFreyasDrawings/Section ds7,Freya was quite the talent.,Freya miała spory talent.
Conversation/FelixFreyasDrawings/Section ds8,She had a way of capturing the spirits of her subjects...,Miała sposób na uchwycenie ducha swoich modeli...
Conversation/FelixFreyasPaints/Section ds10,"No, that's very odd - they're normally in [h]excellent[/h] condition.","Nie, to bardzo dziwne - zwykle są w [h]doskonałym[/h] stanie."
Conversation/FelixFreyasPaints/Section ds11,You seem pretty sure about that.,Wydajesz się być tego całkiem pewien.
Conversation/FelixFreyasPaints/Section ds7,Looks like Freya's paints.,Wygląda jak farby Freyi.
Conversation/FelixFreyasPaints/Section ds8,...,...
Conversation/FelixFreyasPaints/Section ds9,Do you know why the pots are cracked down one side...?,"Wiesz, czemu te słoiki są popękane po jednej stronie...?"
Conversation/FelixGoldenBeetle/Section ds12,...,...
Conversation/FelixGoldenBeetle/Section ds7,"What's this all about?
Some kind of rare jewel?","O co w tym wszystkim chodzi?
Jakiś rodzaj rzadkiego klejnotu?"
Conversation/FelixGoldenBeetle/Section ds8,I'm pretty sure the research is about a real insect.,"Jestem całkiem pewien, że te badania dotyczą prawdziwego owada."
Conversation/FelixGoldenBeetle/Section ds9,"If it's made of gold, then it's made of gold...","Jeśli jest zrobiony ze złota, to jest zrobiony ze złota..."
Conversation/FelixGramaphone/Section ds11,Can't say I do.,"Nie powiem, żebym wiedział."
Conversation/FelixGramaphone/Section ds13,Do you know what happened to it?,"Wiesz, co się z nim stało?"
Conversation/FelixGramaphone/Section ds7,Flora's quite fond of that old thing.,Flora jest całkiem przywiązana do tej starej rzeczy.
Conversation/FelixGramaphone/Section ds9,It's in poor shape though...,Jest jednak w kiepskim stanie...
Conversation/FelixHarpStatue/Section ds10,It's connected to the Remington family history in some way...,Jest połączona w jakiś sposób z historią rodziny Remington...
Conversation/FelixHarpStatue/Section ds11,But I... can't recall...,Ale ja... nie potrafię sobie przypomnieć...
Conversation/FelixHarpStatue/Section ds12,"Years of wind and rain have [h]not[/h] been kind to it, either.",Lata wiatru i deszczu [h]też[/h] jej nie posłużyły.
Conversation/FelixHarpStatue/Section ds7,"Rather ugly, isn't it? As far as statues go.","Dość brzydka, prawda? Jak na statuę."
Conversation/FelixHarpStatue/Section ds8,"Do you know what it is? 
That creature, I mean?","Wiesz, co to jest?
To stworzenie, mam na myśli?"
Conversation/FelixHawkshaw/Section ds10,I heard on the grapevine... supposedly Hawkshaw is searching for some rare item-,Słyszałem plotki... podobno Hawkshaw szuka jakiegoś rzadkiego przedmiotu-
Conversation/FelixHawkshaw/Section ds14,-something called the [h]golden beetle.[/h],"-czegoś, co nazywa się [h]złotym żukiem.[/h]"
Conversation/FelixHawkshaw/Section ds16,"Honestly, it's probably a bunch of sensationalist rubbish.","Szczerze mówiąc, to pewnie kupa sensacyjnych bzdur."
Conversation/FelixHawkshaw/Section ds17,You reckon?,Tak sądzisz?
Conversation/FelixHawkshaw/Section ds18,"Quite sure.
There [h]is[/h] no treasure called the 'golden beetle'.","Jestem całkiem pewien.
Nie [h]istnieje[/h] żaden skarb zwany 'złotym żukiem'."
Conversation/FelixHawkshaw/Section ds19,How do [h]you[/h] know?,Skąd [h]ty[/h] to wiesz?
Conversation/FelixHawkshaw/Section ds20,Because [h]I[/h] would've heard of it!,Bo [h]ja[/h] bym o nim słyszał!
Conversation/FelixHawkshaw/Section ds3,"Quite the character, eh?","Niezła persona, co?"
Conversation/FelixHawkshaw/Section ds4,A fellow member of the order of the crimson cloak...,Kolega z zakonu szkarłatnej peleryny...
Conversation/FelixHawkshaw/Section ds5,-is that a real thing!?,-czy to naprawdę istnieje!?
Conversation/FelixHawkshaw/Section ds6,"No, I - just meant - because we both wear...","Nie, ja - chodziło mi tylko o to, że oboje nosimy..."
Conversation/FelixHawkshaw/Section ds7,"You know... red capes.
Of a sort.","No wiesz... czerwone peleryny.
Swojego rodzaju."
Conversation/FelixHawkshaw/Section ds8,Has she questioned you yet?,Przesłuchała cię już?
Conversation/FelixHawkshaw/Section ds9,If you call [h]that[/h] questioning. She seemed bored by everything I had to say!,"Jeśli to nazwać [h]przesłuchaniem.[/h] Wydawała się znudzona wszystkim, co miałem do powiedzenia!"
Conversation/FelixHornStatue/Section ds10,Looks like somebody broke a glass and was trying to conceal the evidence...,"Wygląda, jakby ktoś rozbił szkło i próbował ukryć dowody..."
Conversation/FelixHornStatue/Section ds11,Cunning!,Przebiegłe!
Conversation/FelixHornStatue/Section ds7,"Now this is still in [h]very[/h] good condition... apart from the crack, of course...","To jest wciąż w [h]bardzo[/h] dobrym stanie... poza pęknięciem, oczywiście..."
Conversation/FelixHornStatue/Section ds9,What about those shards on the inside of the horn?,A co z tymi odłamkami wewnątrz rogu?
Conversation/FelixIntro/Section ds10,"-Mmm, I must say I'm rather jealous of you two...","-Mmm, muszę przyznać, że trochę wam zazdroszczę..."
Conversation/FelixIntro/Section ds11,"Oh yeah?
Why's that?","Och, tak?
A to czemu?"
Conversation/FelixIntro/Section ds12,"Out here solving mysteries, exploring new places...","Rozwiązujecie zagadki, odkrywacie nowe miejsca..."
Conversation/FelixIntro/Section ds13,That's what life is all about!,O to właśnie chodzi w życiu!
Conversation/FelixIntro/Section ds14,Secret rooms?,Tajne pokoje?
Conversation/FelixIntro/Section ds15,"Ah - generally speaking, you know...","Ach - ogólnie rzecz biorąc, wiecie..."
Conversation/FelixIntro/Section ds16,-that sort of thing.,-tego typu rzeczy.
Conversation/FelixIntro/Section ds17,"-uncovering secret rooms, hidden treasures...","-odkrywanie tajnych pokoi, ukrytych skarbów..."
Conversation/FelixIntro/Section ds18,Thanks.,Dzięki.
Conversation/FelixIntro/Section ds23,Sir?,Proszę pana?
Conversation/FelixIntro/Section ds24,"Can you hear me?
...I'm private detective Grimoire, I have some questions for y-","Słyszy mnie pan?
...Jestem prywatnym detektywem Grimoire, mam do pana kilka pytań-"
Conversation/FelixIntro/Section ds26,...,...
Conversation/FelixIntro/Section ds27,...,...
Conversation/FelixIntro/Section ds4,Grim-oire.,Grim... oire.
Conversation/FelixIntro/Section ds5,"Good [h]mysterious[/h] name.
I rather like it.","Niezłe, [h]tajemnicze[/h] imię.
Całkiem mi się podoba."
Conversation/FelixIntro/Section ds6,"Felix Fellow, at your beck and call.","Felix Fellow, do usług."
Conversation/FelixIntro/Section ds7,"And uh - this is my colleague, Sally.","A to... moja koleżanka po fachu, Sally."
Conversation/FelixIntro/Section ds8,Ah - that's a... perfectly good name as well.,"Ach, to również... całkiem niezłe imię."
Conversation/FelixIntro/Section ds9,"If you would, Mr Fellow - we really need to ask you about the murder-","Jeśli można, panie Fellow - naprawdę musimy zapytać pana o morderstwo-"
Conversation/FelixLuteStatue/Section ds10,You can see the brass is slightly tarnished by the elements.,"Widać, że mosiądz jest lekko zmatowiały od żywiołów."
Conversation/FelixLuteStatue/Section ds7,Yes... it's been there a while.,Tak... stoi tam już od dawna.
Conversation/FelixLuteStatue/Section ds8,But it's not too bad... might be salvageable...,Ale nie jest tak źle... może da się uratować...
Conversation/FelixLuteStatue/Section ds9,This statue was up in the rooftop garden.,Ta statua stała w ogrodzie na dachu.
Conversation/FelixOrnateTrowel/Section ds7,I've never seen [h]that[/h] before...,Nigdy [h]czegoś takiego[/h] nie widziałem...
Conversation/FelixOrnateTrowel/Section ds8,Looks valuable.,Wygląda na cenne.
Conversation/FelixPaintedFigurine/Section ds10,"Turned out alright, though.",Ale wyszło całkiem nieźle.
Conversation/FelixPaintedFigurine/Section ds11,What's it supposed to be...?,Co to niby ma być...?
Conversation/FelixPaintedFigurine/Section ds12,"It's Flora, of course.","To Flora, oczywiście."
Conversation/FelixPaintedFigurine/Section ds13,Surrounded by all her favourite people.,Otoczona wszystkimi jej ulubionymi ludźmi.
Conversation/FelixPaintedFigurine/Section ds7,"Ah, you found it...","Ach, znalazłaś to..."
Conversation/FelixPaintedFigurine/Section ds8,"What, ah- what do you think?","Co, ach- co o tym myślisz?"
Conversation/FelixPaintedFigurine/Section ds9,I had to rush the final touches a little bit...,Musiałem trochę pospieszyć się z ostatnimi szczegółami...
Conversation/FelixPaintedPortrait/Section ds20,It would have been a [h]beautiful[/h] painting.,To byłby [h]piękny[/h] obraz.
Conversation/FelixPaintedPortrait/Section ds21,Rather a shame Freya was unable to finish it…,"Trochę szkoda, że Freya nie zdążyła go dokończyć..."
Conversation/FelixPaintedPortrait/Section ds22,Nothing about it seems strange to you?,Nic w nim nie wydaje ci się dziwne?
Conversation/FelixPaintedPortrait/Section ds23,"Well all these... [h]modern[/h] paintings are slightly strange, aren't they?","Cóż, wszystkie te... [h]nowoczesne[/h] obrazy są nieco dziwne, prawda?"
Conversation/FelixPaintedPortrait/Section ds24,"The [h]emotion[/h] of the piece taking over from, say... [h]anatomical accuracy…[/h]","[h]Emocje[/h] w dziele biorą górę nad, powiedzmy... [h]anatomiczną dokładnością…[/h]"
Conversation/FelixPaintedPortrait/Section ds25,What about the knife in Flora's hand?,A co z nożem w ręce Flory?
Conversation/FelixPaintedPortrait/Section ds26,"…A knife?
That's what you see?","…Nóż?
To widzisz?"
Conversation/FelixPaintedPortrait/Section ds27,...you don't?,...a ty nie?
Conversation/FelixPaintedPortrait/Section ds28,"...well, as I was saying - Freya's artistic approach... [h]distorts[/h] certain shapes...","...cóż, jak mówiłem - artystyczne podejście Freyi... [h]zniekształca[/h] pewne kształty..."
Conversation/FelixPaintedPortrait/Section ds29,Hard to say exactly [h]what[/h] we're looking at...,"Trudno powiedzieć dokładnie, na [h]co[/h] właściwie patrzymy..."
Conversation/FelixPaintingTools/Section ds10,"Ah.
Yes.","Ach.
Tak."
Conversation/FelixPaintingTools/Section ds11,So we shall.,Więc zróbmy to.
Conversation/FelixPaintingTools/Section ds7,Hm...,Hm...
Conversation/FelixPaintingTools/Section ds8,It's unlike her to leave paint on the brush...,"To niepodobne do niej, zostawiać farbę na pędzlu..."
Conversation/FelixPaintingTools/Section ds9,I think we'll give her a pass... given the circumstances.,"Myślę, że jej to wybaczymy... biorąc pod uwagę okoliczności."
Conversation/FelixPenny/Section ds10,It's a nice gesture. Heartfelt.,To miły gest. Szczery.
Conversation/FelixPenny/Section ds18,"Well, she was mostly raised by her Uncle - and he really only makes time for his own [h]daughter.[/h]","Cóż, była głównie wychowywana przez wujka - a on naprawdę poświęca czas tylko swojej [h]własnej córce.[/h]"
Conversation/FelixPenny/Section ds19,How come?,Jak to?
Conversation/FelixPenny/Section ds23,-but [h]futile.[/h],-ale [h]daremne.[/h]
Conversation/FelixPenny/Section ds3,Penelope seems to have really settled into a groove.,Penelope zdaje się naprawdę odnaleźć swój rytm.
Conversation/FelixPenny/Section ds4,She struggled a bit - when she was younger - always a little estranged...,Trochę się miotała - kiedy była młodsza - zawsze nieco wyobcowana...
Conversation/FelixPenny/Section ds9,Now of course - she's bringing the two families together through her marriage.,Teraz oczywiście - łączy obie rodziny poprzez swoje małżeństwo.
Conversation/FelixPennysBirds/Section ds10,Do you not feel sorry for them? In that little cage?,Nie żal ci ich? W tej małej klatce?
Conversation/FelixPennysBirds/Section ds11,"Come now, I'm sure they could leave if they really wanted to.","No dalej, jestem pewien, że mogłyby odejść, gdyby naprawdę chciały."
Conversation/FelixPennysBirds/Section ds7,"Bizarre things, aren't they?","Dziwaczne rzeczy, prawda?"
Conversation/FelixPennysBirds/Section ds9,Penelope seems rather attached to them...,Penelope wydaje się być do nich całkiem przywiązana...
Conversation/FelixPhotoCorner/Section ds10,...,...
Conversation/FelixPhotoCorner/Section ds11,Not a clue.,Nie mam pojęcia.
Conversation/FelixPhotoCorner/Section ds6,Oh dear...,Ojej...
Conversation/FelixPhotoCorner/Section ds9,Do you know who this is?,"Wiesz, kto to jest?"
Conversation/FelixPhotoofPainting/Section ds6,"That's one of Freya's paintings, is it not?","To jeden z obrazów Freyi, prawda?"
Conversation/FelixPhotoofPainting/Section ds7,It's impressive... but a little miserable for my tastes.,Robi wrażenie... ale trochę zbyt ponury jak dla mnie.
Conversation/FelixPointer/Section ds10,"Slightly pathetic, really.","Trochę żałosne, prawdę mówiąc."
Conversation/FelixPointer/Section ds11,-and how long have you known him?,-a jak długo go znasz?
Conversation/FelixPointer/Section ds12,Over thirty-five years.,Ponad trzydzieści pięć lat.
Conversation/FelixPointer/Section ds13,Childhood friends? Rivals?,Przyjaciele z dzieciństwa? Rywale?
Conversation/FelixPointer/Section ds14,Don't know if I'd do him the honour of considering him my [h]rival...[/h],"Nie wiem, czy zaszczyciłbym go, uznając za swojego [h]rywala...[/h]"
Conversation/FelixPointer/Section ds3,"Percival Pointer...
Good old Percy.","Percival Pointer...
Stary poczciwy Percy."
Conversation/FelixPointer/Section ds4,"So, uh - what d'you reckon - is he the murderer?","Więc, yy - co myślisz - to on jest mordercą?"
Conversation/FelixPointer/Section ds5,That is [h]not[/h] information we're willing to share at this time.,"To [h]nie[/h] jest informacja, którą chcemy teraz udostępniać."
Conversation/FelixPointer/Section ds6,I'm just saying - keep an eye on him.,Mówię tylko - miej go na oku.
Conversation/FelixPointer/Section ds7,"Holds on to a lot of [h]bitterness[/h], does old Pointer.","Trzyma się sporej [h]goryczy,[/h] ten stary Pointer."
Conversation/FelixPointer/Section ds8,"I dunno, maybe - we still need-","Nie wiem, może - wciąż musimy-"
Conversation/FelixPointer/Section ds9,Just because he's always struggled to support his family...,"Tylko dlatego, że zawsze zmagał się z utrzymaniem rodziny..."
Conversation/FelixPoppy/Section ds18,I think they get on well because they're so... [h]different.[/h],"Myślę, że dogadują się dobrze, bo są tak... [h]różne.[/h]"
Conversation/FelixPoppy/Section ds19,"Poppy is, uh...
-she's quite [h]introspective[/h]. Good with feelings.","Poppy jest, yy...
-jest dość [h]refleksyjna[/h]. Dobra z uczuciami."
Conversation/FelixPoppy/Section ds20,Fiona... ah - not so much.,Fiona... ach - niekoniecznie.
Conversation/FelixPoppy/Section ds22,"The heavy, heavy price of emotional intelligence.","Ciężka, bardzo ciężka cena inteligencji emocjonalnej."
Conversation/FelixPoppy/Section ds5,Poppy's a good friend to my daughter. Always has been.,Poppy jest dobrą przyjaciółką mojej córki. Zawsze była.
Conversation/FelixPoppy/Section ds6,Different - like how?,Inne - to znaczy jak?
Conversation/FelixPoppy/Section ds7,"Still, Poppy always seems to be [h]sulking[/h] about something.",Mimo to Poppy zawsze wydaje się [h]dąsać[/h] o coś.
Conversation/FelixPottedPlant/Section ds6,That looks like it might belong to Fitz.,"To wygląda, jakby mogło należeć do Fitza."
Conversation/FelixRippedPhoto/Section ds10,Oh yes... I didn't even notice!,Ach tak... nawet nie zauważyłem!
Conversation/FelixRippedPhoto/Section ds11,They grow up so fast...,Tak szybko rosną...
Conversation/FelixRippedPhoto/Section ds12,No idea.,Nie mam pojęcia.
Conversation/FelixRippedPhoto/Section ds7,My daughter Fiona and her best friend.,Moja córka Fiona i jej najlepsza przyjaciółka.
Conversation/FelixRippedPhoto/Section ds9,Do you know why it's ripped like that?,"Wiesz, czemu jest tak podarte?"
Conversation/FelixSecretDiary/Section ds10,Why would someone lock up a book like that?,Czemu ktoś miałby zamykać taką książkę?
Conversation/FelixSecretDiary/Section ds12,We think it's a secret diary.,"Sądzimy, że to sekretny pamiętnik."
Conversation/FelixSecretDiary/Section ds13,"Aha.
Teenagers [h]are[/h] funny, aren't they?","Aha.
Nastolatki [h]są[/h] zabawne, prawda?"
Conversation/FelixSheetMusic/Section ds7,Why not ask Poppy instead?,Czemu nie zapytasz zamiast tego Poppy?
Conversation/FelixSheetMusic/Section ds8,I've never been one for... music.,Nigdy nie byłem specjalnie... muzykalny.
Conversation/FelixShortTelescope/Section ds7,Why don't you ask Fiona about that one?,Czemu nie zapytasz o to Fiony?
Conversation/FelixShortTelescope/Section ds9,Looks like her area of expertise.,Wygląda na jej dziedzinę.
Conversation/FelixSparklyFruit/Section ds7,That looks like it might belong to Fitz.,"To wygląda, jakby mogło należeć do Fitza."
Conversation/FelixStatement/Section ds1,It was dusk.,Zapadał zmierzch.
Conversation/FelixStatement/Section ds10,"She was heading up Fellow tower to find Professor Pointer, so I escorted her.","Szła w górę wieży Fellowów, żeby znaleźć profesora Pointera, więc jej towarzyszyłem."
Conversation/FelixStatement/Section ds11,We went into Flora's room. Poor Freya was laying on the floor...,Weszliśmy do pokoju Flory. Biedna Freya leżała na podłodze...
Conversation/FelixStatement/Section ds12,"Fiona, Poppy, Fitz and Pointer were there already. Flora, too, of course.","Fiona, Poppy, Fitz i Pointer już tam byli. Flora też, oczywiście."
Conversation/FelixStatement/Section ds2,The footsteps were calm. Orderly. So I thought nothing of it.,Kroki były spokojne. Uporządkowane. Więc nie przywiązywałem do tego wagi.
