term,en,pl
Puzzles/Connectors/CompareFlora connector 2 5,from a fairy tale,z bajki
Puzzles/Connectors/ComparePainting connector 1 1,was going to be used to paint,miała posłużyć do namalowania
Puzzles/Connectors/ComparePainting connector 1 2,"isn't actually paint, because","właściwie nie jest farbą, ponieważ to"
Puzzles/Connectors/ComparePainting connector 1 3,"was added by the murderer, so","zostało dodane przez mordercę, więc to"
Puzzles/Connectors/ComparePainting connector 1 4,dripped onto the canvas from,skapnęła na płótno z
Puzzles/Connectors/ComparePainting connector 1 5,"was a mistake by Freya, because","była pomyłką Freyi, ponieważ to"
Puzzles/Connectors/ComparePainting connector 2 1,of something sitting in the window,czegoś siedzącego w oknie
Puzzles/Connectors/ComparePainting connector 2 2,is the murder weapon,narzędzie zbrodni
Puzzles/Connectors/ComparePainting connector 2 3,which Freya had lost,które Freya zgubiła
Puzzles/Connectors/ComparePainting connector 2 4,which was part of Flora's dress,które było częścią sukni Flory
Puzzles/Connectors/ComparePainting connector 2 5,dropped by the Inkdip bird,upuszczone przez ptaka Inkdip
Puzzles/Connectors/ComparePenny connector 1 1,was left behind by,zostało zostawione przez
Puzzles/Connectors/ComparePenny connector 1 2,was stolen from,zostało skradzione
Puzzles/Connectors/ComparePenny connector 1 3,was deliberately dropped by,zostało celowo upuszczone przez
Puzzles/Connectors/ComparePenny connector 1 4,was eaten by,zostało zjedzone przez
Puzzles/Connectors/ComparePenny connector 1 5,was used to kill,posłużyło do zabicia
Puzzles/Connectors/ComparePenny connector 2 1,when it visited the rooftop garden,gdy odwiedził ogród na dachu
Puzzles/Connectors/ComparePenny connector 2 2,after it killed Freya,po zabiciu Freyi
Puzzles/Connectors/ComparePenny connector 2 3,when it visited the greenhouse,gdy odwiedził szklarnię
Puzzles/Connectors/ComparePenny connector 2 4,when it escaped from Penny,gdy uciekł od Penny
Puzzles/Connectors/ComparePenny connector 2 5,to confuse me,żeby mnie zmylić
Puzzles/Connectors/ComparePoppy connector 1 1,found at the crime scene matches,znaleziona na miejscu zbrodni pasuje do
Puzzles/Connectors/ComparePoppy connector 1 2,was replaced by,została zastąpiona przez
Puzzles/Connectors/ComparePoppy connector 1 3,found in the garden matches,znaleziona w ogrodzie pasuje do
Puzzles/Connectors/ComparePoppy connector 1 4,is an older version of,jest starszą wersją
Puzzles/Connectors/ComparePoppy connector 1 5,is much larger than,jest o wiele większa niż
Puzzles/Connectors/ComparePoppy connector 2 1,used by Poppy in this old photo,używanego przez Poppy na tym starym zdjęciu
Puzzles/Connectors/ComparePoppy connector 2 2,that was found in Freya's room,która została znaleziona w pokoju Freyi
Puzzles/Connectors/ComparePoppy connector 2 3,found at the crime scene,znaleziona na miejscu zbrodni
Puzzles/Connectors/ComparePoppy connector 2 4,used by Fifi in this old photo,używanego przez Fifi na tym starym zdjęciu
Puzzles/Connectors/ComparePoppy connector 2 5,that was found in Poppy's room,która została znaleziona w pokoju Poppy
Puzzles/Connectors/TestMindGameFelix connector 1 1,was somehow filled with,został jakoś wypełniony
Puzzles/Connectors/TestMindGameFelix connector 1 2,was used to destroy,posłużyła do zniszczenia
Puzzles/Connectors/TestMindGameFelix connector 1 3,was used to fill up,posłużyła do napełnienia
Puzzles/Connectors/TestMindGameFelix connector 1 4,contained no,nie zawierał
Puzzles/Connectors/TestMindGameFelix connector 1 5,had been emptied of all its,został opróżniony z całej swojej
Puzzles/Connectors/TestMindGameFelix connector 2 1,before Freya used it to paint Flora,zanim Freya użyła jej do namalowania Flory
Puzzles/Connectors/TestMindGameFelix connector 2 2,and emptied out onto the floor,i wylany na podłogę
Puzzles/Connectors/TestMindGameFelix connector 2 3,after Freya used it to paint Flora,"po tym, jak Freya użyła jej do namalowania Flory"
Puzzles/Connectors/TestMindGameFelix connector 2 4,"by Freya, several weeks ago","przez Freyę, kilka tygodni temu"
Puzzles/Connectors/TestMindGameFelix connector 2 5,and then locked away,a potem zamknięty na klucz
Puzzles/Connectors/TestMindGameFifi connector 1 1,didn't want anyone to see,"nie chciała, żeby ktokolwiek zobaczył"
Puzzles/Connectors/TestMindGameFifi connector 1 2,didn't know about,nie wiedziała o
Puzzles/Connectors/TestMindGameFifi connector 1 3,was always suspicious of,zawsze podejrzewała
Puzzles/Connectors/TestMindGameFifi connector 1 4,destroyed,zniszczyła
Puzzles/Connectors/TestMindGameFifi connector 1 5,thought there wasn't,"myślała, że nie ma"
Puzzles/Connectors/TestMindGameFifi connector 2 1,within Freya's diary,w pamiętniku Freyi
Puzzles/Connectors/TestMindGameFifi connector 2 2,kept in her bedroom,trzymanego w swojej sypialni
Puzzles/Connectors/TestMindGameFifi connector 2 3,within a library book,w bibliotecznej książce
Puzzles/Connectors/TestMindGameFifi connector 2 4,buried in the garden,zakopanego w ogrodzie
Puzzles/Connectors/TestMindGameFifi connector 2 5,that everyone knew about,o którym wszyscy wiedzieli
Puzzles/Connectors/TestMindGameFitz connector 1 1,is used by Fitz to look after,jest używana przez Fitza do zajmowania się
Puzzles/Connectors/TestMindGameFitz connector 1 2,is used by Fitz to cut,jest używana przez Fitza do ścinania
Puzzles/Connectors/TestMindGameFitz connector 1 3,is part of a matching set with,jest częścią pasującego zestawu z
Puzzles/Connectors/TestMindGameFitz connector 1 4,is the only thing that can destroy,"jest jedyną rzeczą, która może zniszczyć"
Puzzles/Connectors/TestMindGameFitz connector 1 5,was used to bury,posłużyła do zakopania
Puzzles/Connectors/TestMindGameFitz connector 2 1,in Penny's room,w pokoju Penny
Puzzles/Connectors/TestMindGameFitz connector 2 2,in Fitz's room,w pokoju Fitza
Puzzles/Connectors/TestMindGameFitz connector 2 3,in Poppy's room,w pokoju Poppy
Puzzles/Connectors/TestMindGameFitz connector 2 4,in the garden,w ogrodzie
Puzzles/Connectors/TestMindGameFitz connector 2 5,in the greenhouse,w szklarni
Puzzles/Connectors/TestMindGameFlora connector 1 1,"was Flora's pet, so she kept","był zwierzątkiem Flory, więc trzymała"
Puzzles/Connectors/TestMindGameFlora connector 1 2,"attacked Flora, so she destroyed","zaatakował Florę, więc zniszczyła"
Puzzles/Connectors/TestMindGameFlora connector 1 3,"betrayed Flora, so she ate","zdradził Florę, więc zjadła"
Puzzles/Connectors/TestMindGameFlora connector 1 4,"was Penny's pet, so she kept","był zwierzątkiem Penny, więc trzymała"
Puzzles/Connectors/TestMindGameFlora connector 1 5,"was part of Fifi's experiments,","był częścią eksperymentów Fifi,"
Puzzles/Connectors/TestMindGameFlora connector 2 1,to remember it by,na pamiątkę
Puzzles/Connectors/TestMindGameFlora connector 2 2,to show her friends,żeby pokazać przyjaciołom
Puzzles/Connectors/TestMindGameFlora connector 2 3,to destroy later,żeby zniszczyć później
Puzzles/Connectors/TestMindGameFlora connector 2 4,as evidence of a crime,jako dowód zbrodni
Puzzles/Connectors/TestMindGameFlora connector 2 5,as a bargaining chip,jako kartę przetargową
Puzzles/Connectors/TestMindGameFreya connector 1 1,was used to paint the red tip of,posłużyła do namalowania czerwonego czubka
Puzzles/Connectors/TestMindGameFreya connector 1 2,was replaced by,została zastąpiona przez
Puzzles/Connectors/TestMindGameFreya connector 1 3,was designed to match,"została zaprojektowana, żeby pasować do"
Puzzles/Connectors/TestMindGameFreya connector 1 4,was used to hide,posłużyła do ukrycia
Puzzles/Connectors/TestMindGameFreya connector 1 5,was used to paint over,posłużyła do zamalowania
Puzzles/Connectors/TestMindGameFreya connector 2 1,to resemble a bloody knife,żeby przypominać zakrwawiony nóż
Puzzles/Connectors/TestMindGameFreya connector 2 2,so it could stab Freya,żeby mógł dźgnąć Freyę
Puzzles/Connectors/TestMindGameFreya connector 2 3,to distract Freya,żeby rozproszyć Freyę
Puzzles/Connectors/TestMindGameFreya connector 2 4,to hide the evidence,żeby ukryć dowody
Puzzles/Connectors/TestMindGameFreya connector 2 5,to prove the existence of magic,żeby udowodnić istnienie magii
Puzzles/Connectors/TestMindGameHawkshaw connector 1 1,"according to Fifi, uses","według Fifi, używa"
Puzzles/Connectors/TestMindGameHawkshaw connector 1 2,was created by Fifi to use,"został stworzony przez Fifi, żeby użyć"
Puzzles/Connectors/TestMindGameHawkshaw connector 1 3,is made entirely out of,jest zrobiony całkowicie z
Puzzles/Connectors/TestMindGameHawkshaw connector 1 4,is a part of,jest częścią
Puzzles/Connectors/TestMindGameHawkshaw connector 1 5,"according to Hawkshaw, uses","według Hawkshaw, używa"
Puzzles/Connectors/TestMindGameHawkshaw connector 2 1,so Hawkshaw lied about it,więc Hawkshaw skłamała na ten temat
Puzzles/Connectors/TestMindGameHawkshaw connector 2 2,so Fifi stole it,więc Fifi to ukradła
Puzzles/Connectors/TestMindGameHawkshaw connector 2 3,so Hawkshaw was honest,więc Hawkshaw była szczera
Puzzles/Connectors/TestMindGameHawkshaw connector 2 4,so Hawkshaw stole it,więc Hawkshaw to ukradła
Puzzles/Connectors/TestMindGameHawkshaw connector 2 5,which makes it the murder weapon,co czyni to narzędziem zbrodni
Puzzles/Connectors/TestMindGameOpening connector 1 1,is holding a knife tipped with,trzyma nóż zakończony
Puzzles/Connectors/TestMindGameOpening connector 1 2,was hidden inside,był ukryty wewnątrz
Puzzles/Connectors/TestMindGameOpening connector 1 3,was used to kill,posłużył do zabicia
Puzzles/Connectors/TestMindGameOpening connector 1 4,is completely covered in,jest cały pokryty
Puzzles/Connectors/TestMindGameOpening connector 1 5,was used to knock out,posłużył do ogłuszenia
Puzzles/Connectors/TestMindGameOpening connector 2 1,because it stabbed Freya...,ponieważ dźgnął Freyę...
Puzzles/Connectors/TestMindGameOpening connector 2 2,but Freya stole it...,ale Freya to ukradła...
Puzzles/Connectors/TestMindGameOpening connector 2 3,but it was removed from the scene...,ale zostało usunięte z miejsca zbrodni...
Puzzles/Connectors/TestMindGameOpening connector 2 4,because Freya put it there...,ponieważ Freya to tam umieściła...
Puzzles/Connectors/TestMindGameOpening connector 2 5,because Freya was going to eat it...,ponieważ Freya miała to zjeść...
Puzzles/Connectors/TestMindGamePenny connector 1 1,was used to spy on,posłużył do szpiegowania
Puzzles/Connectors/TestMindGamePenny connector 1 2,was used to kill,posłużył do zabicia
Puzzles/Connectors/TestMindGamePenny connector 1 3,was stolen from,został skradziony od
Puzzles/Connectors/TestMindGamePenny connector 1 4,was given to,został podarowany
Puzzles/Connectors/TestMindGamePenny connector 1 5,was used to bribe,posłużył do przekupienia
Puzzles/Connectors/TestMindGamePenny connector 2 1,and steal evidence from them,i ukradł od nich dowody
Puzzles/Connectors/TestMindGamePenny connector 2 2,because they were planning a murder,ponieważ planowali morderstwo
Puzzles/Connectors/TestMindGamePenny connector 2 3,and steal money from them,i ukradł od nich pieniądze
Puzzles/Connectors/TestMindGamePenny connector 2 4,but it didn't work,ale to nie zadziałało
Puzzles/Connectors/TestMindGamePenny connector 2 5,and distract them,i rozproszył ich
Puzzles/Connectors/TestMindGamePointer connector 1 1,was actually looking at,właściwie patrzył na
Puzzles/Connectors/TestMindGamePointer connector 1 2,was falling towards,spadał w kierunku
Puzzles/Connectors/TestMindGamePointer connector 1 3,was sneaking up on,podkradał się do
Puzzles/Connectors/TestMindGamePointer connector 1 4,was trying to hide,próbował ukryć
Puzzles/Connectors/TestMindGamePointer connector 1 5,was on top of,był na szczycie
Puzzles/Connectors/TestMindGamePointer connector 2 1,and not up at the sky,a nie w niebo
Puzzles/Connectors/TestMindGamePointer connector 2 2,because Pointer saw a bird,ponieważ Pointer zobaczył ptaka
Puzzles/Connectors/TestMindGamePointer connector 2 3,because somebody broke it,ponieważ ktoś go złamał
Puzzles/Connectors/TestMindGamePointer connector 2 4,because it was daytime,ponieważ był dzień
Puzzles/Connectors/TestMindGamePointer connector 2 5,for self-reflection,dla autorefleksji
Puzzles/Connectors/TestMindGameStory2 connector 1 1,has been trying to breed,próbował wyhodować
Puzzles/Connectors/TestMindGameStory2 connector 1 2,was hiding from,ukrywał się przed
Puzzles/Connectors/TestMindGameStory2 connector 1 3,has been planning to kill,planował zabić
Puzzles/Connectors/TestMindGameStory2 connector 1 4,locked up,zamknął na klucz
Puzzles/Connectors/TestMindGameStory2 connector 1 5,wasn't aware of,nie był świadomy
Puzzles/Connectors/TestMindGameStory2 connector 2 1,in the underground laboratory...,w podziemnym laboratorium...
Puzzles/Connectors/TestMindGameStory2 connector 2 2,in Flora's tower...,w wieży Flory...
Puzzles/Connectors/TestMindGameStory2 connector 2 3,in the greenhouse...,w szklarni...
Puzzles/Connectors/TestMindGameStory2 connector 2 4,in the rooftop garden...,w ogrodzie na dachu...
Puzzles/Connectors/TestMindGameStory2 connector 2 5,in the astronomy tower...,w wieży astronomicznej...
Puzzles/HUD/AttachGameBow 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/AttachGamePhoto 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/AttachGamePin 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/AttachGameResearch 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/BugBoard 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/BuildingPlans 1,(none needed),(żaden nie potrzebny)
Puzzles/HUD/CompareFelix 1,What's the connection between these two clues?,Jaki jest związek między tymi dwoma tropami?
Puzzles/HUD/CompareFelix 2,...is there something strange about the red paint pots?,...czy jest coś dziwnego w czerwonych pojemnikach z farbą?
Puzzles/HUD/CompareFifi 1,What's the connection between these two clues?,Jaki jest związek między tymi dwoma tropami?
Puzzles/HUD/CompareFifi 2,...is there evidence to suggest who the diary belonged to?,"...czy jest jakiś dowód na to, do kogo należał pamiętnik?"
Puzzles/HUD/CompareFitz 1,What's the connection between these two clues?,Jaki jest związek między tymi dwoma tropami?
Puzzles/HUD/CompareFitz 2,I think both of them may have come from Fitz's greenhouse...,"Myślę, że oba mogły pochodzić ze szklarni Fitza..."
Puzzles/HUD/CompareFlora 1,What's the connection between these two clues?,Jaki jest związek między tymi dwoma tropami?
Puzzles/HUD/CompareFlora 2,Perhaps there's something else which is shaped like a knife...?,"Może jest coś jeszcze, co ma kształt noża...?"
Puzzles/HUD/ComparePainting 1,...,...
Puzzles/HUD/ComparePainting 2,...,...
Puzzles/HUD/ComparePainting 3,Did Freya plan to paint something in the bottom-right corner...?,Czy Freya planowała namalować coś w prawym dolnym rogu...?
Puzzles/HUD/ComparePenny 1,What's the connection between these two clues?,Jaki jest związek między tymi dwoma tropami?
Puzzles/HUD/ComparePenny 2,We should probably just look for matching colours...,Powinniśmy chyba po prostu poszukać pasujących kolorów...
Puzzles/HUD/ComparePoppy 1,What's the connection between these two clues?,Jaki jest związek między tymi dwoma tropami?
Puzzles/HUD/ComparePoppy 2,I'm sure we've seen those pink colours before...,Na pewno widzieliśmy już te różowe kolory...
Puzzles/HUD/CreaturePuzzle 1,"The limbs of the creature can be rotated, and the claws can be opened or closed.","Kończyny stworzenia można obracać, a szczypce otwierać i zamykać."
Puzzles/HUD/FamilyTree 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/FifisBoard 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/FifisChalk 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/FitzBoard 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/FloorboardCrack 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/Gramaphone 1,The gramophone can still be used to listen to audio cassettes.,Gramofon nadal można używać do odsłuchiwania kaset magnetofonowych.
Puzzles/HUD/HarpStatue 1,It doesn't seem like this puzzle can be solved yet...,"Nie wygląda na to, żeby dało się już rozwiązać tę zagadkę..."
Puzzles/HUD/HarpStatueFINAL 1,The column segments can be rotated. The ink shapes can be used as clues.,Segmenty kolumny można obracać. Kształty z atramentu mogą posłużyć jako tropy.
Puzzles/HUD/LabBoard 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/LockedBoxFelix 1,Use the treasure map to discover the combination for the chest's padlock.,"Użyj mapy skarbów, żeby odkryć kombinację do kłódki skrzyni."
Puzzles/HUD/LockedBoxFifi 1,Horizontally slide the four magnifying lenses to the correct positions.,Przesuń poziomo cztery soczewki powiększające na właściwe pozycje.
Puzzles/HUD/LockedBoxFitz 1,Rearrange the pieces of paper to find the combination for the box's padlock.,"Ułóż na nowo kawałki papieru, żeby znaleźć kombinację do kłódki pudełka."
Puzzles/HUD/LockedBoxFlora 1,Swap the positions of the gems. Rotate the egg to see a clue on the back.,"Zamień miejscami klejnoty. Obróć jajko, żeby zobaczyć trop z tyłu."
Puzzles/HUD/LockedBoxFreya 1,Swap the brushes into the correct order. Arrange the paper to find a clue. ,"Ułóż pędzle we właściwej kolejności. Ułóż papier, żeby znaleźć trop. "
Puzzles/HUD/LockedBoxHawkshaw 1,Rotate the dials until all four hands are in the correct position.,"Obracaj tarcze, aż wszystkie cztery wskazówki będą we właściwej pozycji."
Puzzles/HUD/LockedBoxLab 1,Diagonally slide the latches until they're in the correct position.,"Przesuwaj po skosie zatrzaski, aż będą we właściwej pozycji."
Puzzles/HUD/LockedBoxPenny 1,Swap the positions of the seven birds.,Zamień miejscami siedem ptaków.
Puzzles/HUD/LockedBoxPointer 1,"Rotate the five planets, the sun and the moon around the middle.","Obróć pięć planet, słońce i księżyc wokół środka."
Puzzles/HUD/LockedBoxPoppy 1,Use the buttons to rotate all four metronome dials up to the hoop at the top.,"Użyj przycisków, żeby obrócić wszystkie cztery tarcze metronomu aż do pętelki na górze."
Puzzles/HUD/PennyDesk 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/RooftopGardenFitz 1,Slide the lid open. Then move the tiles into the correct slots.,"Przesuń pokrywę, żeby ją otworzyć. Potem przesuń płytki do właściwych gniazd."
Puzzles/HUD/RooftopGardenFitzSOLVED 1,The tiles are already in the correct place.,Płytki są już na właściwym miejscu.
Puzzles/HUD/RooftopGardenPoppy 1,Slide the lid open. Then move the tiles into the correct slots.,"Przesuń pokrywę, żeby ją otworzyć. Potem przesuń płytki do właściwych gniazd."
Puzzles/HUD/RooftopGardenPoppySOLVED 1,The tiles are already in the correct place.,Płytki są już na właściwym miejscu.
Puzzles/HUD/Snowglobe 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/TelescopeView 1,(don't need text for this screen),(nie potrzeba tekstu dla tego ekranu)
Puzzles/HUD/TestMindGameFelix 1,Why is Felix stealing Freya's paint relevant to the murder?,Czemu kradzież farby Freyi przez Felixa ma znaczenie dla morderstwa?
Puzzles/HUD/TestMindGameFelix 2,Wasn't there something strange inside Freya's red paint point...?,Czy w czerwonym pojemniku z farbą Freyi nie było czegoś dziwnego...?
Puzzles/HUD/TestMindGameFelix 3,Freya didn't actually have any red paint in her pot... it was something else!,Freya tak naprawdę nie miała czerwonej farby w swoim pojemniku... to było coś innego!
Puzzles/HUD/TestMindGameFifi 1,Why would Fifi be hiding Freya's diary?,Czemu Fifi miałaby ukrywać pamiętnik Freyi?
Puzzles/HUD/TestMindGameFifi 2,...is there something about the diary Fifi doesn't want anyone to know?,"...czy jest coś w tym pamiętniku, o czym Fifi nie chce, żeby ktoś wiedział?"
Puzzles/HUD/TestMindGameFifi 3,Perhaps Fifi doesn't want us to see what Freya wrote in the diary...?,"Może Fifi nie chce, żebyśmy zobaczyli, co Freya napisała w pamiętniku...?"
Puzzles/HUD/TestMindGameFitz 1,...is there a reason for Fitz to go up Pointer tower with the trowel?,"...czy jest powód, żeby Fitz wchodził na wieżę Pointerów z łopatką?"
Puzzles/HUD/TestMindGameFitz 2,...is there anything in Pointer tower that Fitz needs to attend to?,"...jest coś w wieży Pointerów, czym Fitz musi się zająć?"
Puzzles/HUD/TestMindGameFitz 3,Does Fitz need to look after a plant somewhere in Pointer tower...?,Czy Fitz musi zajmować się jakąś rośliną gdzieś w wieży Pointerów...?
Puzzles/HUD/TestMindGameFlora 1,What's the deal with Flora and this red and white bird...?,O co chodzi z Florą i tym czerwono-białym ptakiem...?
Puzzles/HUD/TestMindGameFlora 2,What's the relationship between the inkdip bird and Flora?,Jaki jest związek między ptakiem inkdip a Florą?
Puzzles/HUD/TestMindGameFlora 3,Flora seemingly wanted to keep an inkdip feather around...,"Wygląda na to, że Flora chciała zatrzymać przy sobie pióro inkdip..."
Puzzles/HUD/TestMindGameFreya 1,Was Freya stabbed by a knife? Why was there blood on the painting?,Czy Freya została dźgnięta nożem? Czemu na obrazie była krew?
Puzzles/HUD/TestMindGameFreya 2,Where did the blood come from? And how was it used...?,Skąd wzięła się krew? I jak została użyta...?
Puzzles/HUD/TestMindGameFreya 3,Perhaps Freya painted the blood onto the painting herself...,Może Freya sama namalowała tę krew na obrazie...
Puzzles/HUD/TestMindGameHawkshaw 1,What's the problem with Hawkshaw's microscope?,Jaki jest problem z mikroskopem Hawkshaw?
Puzzles/HUD/TestMindGameHawkshaw 2,...is there a reason to believe it's not actually a microscope?,"...czy jest powód, żeby sądzić, że to tak naprawdę nie jest mikroskop?"
Puzzles/HUD/TestMindGameHawkshaw 3,Didn't Fifi tell us something strange about the lens...?,Czy Fifi nie powiedziała nam czegoś dziwnego o soczewce...?
Puzzles/HUD/TestMindGameOpening 1,There's something very strange about how Freya was killed...,"Jest coś bardzo dziwnego w sposobie, w jaki zginęła Freya..."
Puzzles/HUD/TestMindGameOpening 2,...was the painting somehow involved in the attack on Freya?,...czy obraz był w jakiś sposób zamieszany w atak na Freyę?
Puzzles/HUD/TestMindGameOpening 3,There's blood on the knife in the painting. Could that possibly mean...?,Na nożu na obrazie jest krew. Czy to mogłoby oznaczać...?
Puzzles/HUD/TestMindGamePenny 1,How and why did Penny decide to access the rooftop garden?,Jak i czemu Penny zdecydowała się wejść do ogrodu na dachu?
Puzzles/HUD/TestMindGamePenny 2,Penny can't access that garden - but maybe someone else can...?,Penny nie może dostać się do tego ogrodu - ale może ktoś inny może...?
Puzzles/HUD/TestMindGamePenny 3,Penny sent someone to spy on the people in the rooftop garden...,"Penny wysłała kogoś, żeby szpiegował ludzi w ogrodzie na dachu..."
Puzzles/HUD/TestMindGamePointer 1,Does Pointer really use his telescope for astronomy?,Czy Pointer naprawdę używa swojego teleskopu do astronomii?
Puzzles/HUD/TestMindGamePointer 2,I don't think Pointer's telescope is looking up at the stars...,"Nie sądzę, żeby teleskop Pointera patrzył w gwiazdy..."
Puzzles/HUD/TestMindGamePointer 3,...is there something directly opposite the astronomy tower...?,...jest coś dokładnie naprzeciwko wieży astronomicznej...?
Puzzles/HUD/TestMindGameStory2 1,Why is there so much research on this beetle? And why is it hidden?,Czemu jest tyle badań nad tym żukiem? I czemu jest ukryty?
Puzzles/HUD/TestMindGameStory2 2,The golden beetle must be quite valuable - but there's one specimen...,Złoty żuk musi być całkiem cenny - ale jest jeden okaz...
Puzzles/HUD/TestMindGameStory2 3,...is Pointer is trying to perform some kind of greedy experiment?,...czy Pointer próbuje przeprowadzić jakiś chciwy eksperyment?
Puzzles/LockedBoxFelix/CompassEast,E,E
Puzzles/LockedBoxFelix/CompassNorth,N,N
Puzzles/LockedBoxFelix/CompassSouth,S,S
Puzzles/LockedBoxFelix/CompassWest,W,W
Puzzles/Part Names/CompareFelix part 1,Freya's red paint pot,czerwony pojemnik z farbą Freyi
Puzzles/Part Names/CompareFelix part 10,the model of Flora,model Flory
Puzzles/Part Names/CompareFelix part 11,the model of a man,model mężczyzny
Puzzles/Part Names/CompareFelix part 2,Freya's blue paint pot,niebieski pojemnik z farbą Freyi
Puzzles/Part Names/CompareFelix part 3,Freya's yellow paint pot,żółty pojemnik z farbą Freyi
Puzzles/Part Names/CompareFelix part 4,Freya's black paint pot,czarny pojemnik z farbą Freyi
Puzzles/Part Names/CompareFelix part 5,Freya's white paint pot,biały pojemnik z farbą Freyi
Puzzles/Part Names/CompareFelix part 6,Felix's red paint pot,czerwony pojemnik z farbą Felixa
Puzzles/Part Names/CompareFelix part 7,Felix's paintbrush,pędzel Felixa
Puzzles/Part Names/CompareFelix part 8,the model of a bird,model ptaka
Puzzles/Part Names/CompareFelix part 9,the model of a girl,model dziewczyny
